Order ID,Order Date,Product,Category,Region,Country,Sales,Quantity,Discount,Profit
1519830c-4019-4303-9c45-7e4da79313b8,2024-08-01,Accessories - Worker,Accessories,East,USA,1529.56,1,0.26,251.44
a61f0b96-e75f-445a-aa1d-3fc65f31273d,2024-08-03,Tops - Toward,Tops,West,Germany,1109.46,9,0.08,156.02
a0279a18-6576-4410-8d41-ee472a5fda18,2025-04-02,Bottoms - Where,Bottoms,North,UK,1387.13,5,0.0,218.4
c156e501-b30e-46e8-b9da-5f8c4e35da80,2024-09-22,Bottoms - Risk,Bottoms,South,Germany,914.07,5,0.05,175.64
1758d47e-a7cd-4143-ade2-14293bf0d9c1,2025-01-17,Bottoms - A,Bottoms,West,USA,1489.84,6,0.1,350.42
36a2c52b-0047-4139-985d-f528b4258e19,2024-11-21,Tops - Woman,Tops,South,USA,1666.5,9,0.09,166.78
97fb613a-21f8-4d06-93f3-cade7a10013f,2024-09-06,Dresses - Rate,Dresses,East,UK,378.23,8,0.24,63.44
71efe72a-ae13-491e-84fa-4c7239e7a4f1,2024-09-08,Dresses - Cold,Dresses,North,India,1682.57,8,0.2,351.8
57f479b5-b212-46ee-8210-63710260a123,2025-01-15,Accessories - Under,Accessories,West,Germany,1126.56,8,0.09,134.69
dc3f42e0-fcf7-4842-9edf-3bfad12e0eb5,2025-03-07,Accessories - Under,Accessories,West,India,1704.87,1,0.14,151.02
7a4a902f-21d6-4b0f-b1ac-040d6c1cc405,2024-09-29,Bottoms - Degree,Bottoms,West,Germany,919.47,1,0.03,144.97
16de66c9-6210-4ef6-ba9c-43081221cddf,2025-02-01,Tops - Let,Tops,East,UK,820.18,8,0.27,130.3
1a6b6a7d-1a38-4ad6-8e53-2ffdbb134f02,2025-02-22,Dresses - Cold,Dresses,North,India,1838.62,5,0.28,168.99
4c9bff5c-e188-4eaf-9e18-85c35037cd6b,2024-09-02,Tops - Let,Tops,North,Germany,577.22,9,0.29,75.91
